chunk_11_table_1.csv,39,Contact Tracing Personnel to Population Ratio,"Ratio of the Contact Tracing Personnel to the LGU population . Numerator: Number of Contact Tracers hired, designated, or detailed . Denominator: LGU Population (projection or actual 2015 census)",DOH AO 2020-0016: Minimum Health System Capacity Standards for COVID-19 Preparedness and Response Strategies
chunk_11_table_1.csv,40,Percent of Contact Tracers trained,Percent of Contact Tracers trained by the Regional/ Provincial/ Municipal/ City Epidemiology and Surveillance Unit . Numerator: Number of Contact Tracers trained . Denominator: Total number of Contact Tracers · Multiplier: 100,IATF-EID Operation LISTO Protocol
chunk_11_table_1.csv,41,Designation or organization of contact tracing team to be available 24/7,Presence of designated/organized contact tracing team available 24/7,IATF-EID Operation LISTO Protocol
chunk_11_table_1.csv,42,"Percentage of close contacts, probable cases, suspect cases, and asymptomatic or mild confirmed cases under Home Quarantine","Home isolated cases are those confined in their current residence with-in a well- ventilated room, preferably with toilet and bathroom and are not admitted in a hospital",1. DOH DM 2020-0189: Updated Guidelines on Contact Tracing of Close Contacts of Confirmed Coronavirus Disease (COVID- 19) Cases
chunk_13_table_1.csv,,,beds · Multiplier: 100,
chunk_13_table_1.csv,PhilHealth Package,,,
chunk_13_table_1.csv,1,Benefit Package Type,"Case Rate, Z-Benefit, MCP Package, Maternal Care, TB DOTS Package, Newborn Package, Outpatient HIV/AIDS Treatment Package",PhilHealth eClaims Forms.
chunk_13_table_1.csv,2,Benefit Package Code,Benefit Package Code depending on benefit package type,
chunk_13_table_1.csv,3,First Case Rate,"For Case Rate, first case rate",
chunk_13_table_1.csv,4,Second Case Rate,"For Case Rate, second case rate",
chunk_13_table_1.csv,5,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_13_table_1.csv,6,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_13_table_1.csv,7,Date of Last Update,Date data was last updated,
chunk_13_table_1.csv,8,Time of Last Update,Time data was last updated,
chunk_13_table_1.csv,Overseas Employment,,,
chunk_13_table_1.csv,1,Encounter Code,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHealth identification number of the patient, date and time of encounter, as represented by a code.",PhilHealth Circular 2020-0002: Governing Policies of the Konsultasyong Sulit at Tama (PhilHealth Konsulta) Package: Expansion of the Primary Care Benefit to Cover All Filipinos
chunk_13_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_13_table_1.csv,3,PhilHealth Identification Number,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",1. DOH Administrative Order 2013-0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001). 2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_14_table_1.csv,21,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_14_table_1.csv,22,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_14_table_1.csv,23,Date of Last Update,Date data was last updated,
chunk_14_table_1.csv,24,Time of Last Update,Time data was last updated,
chunk_14_table_1.csv,ALERT,,,
chunk_14_table_1.csv,1,Encounter Code,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHealth identification number of the patient, date and time of encounter, as represented by a code.",PhilHealth Circular 2020-0002: Governing Policies of the Konsultasyong Sulit at Tama (PhilHealth Konsulta) Package: Expansion of the Primary Care Benefit to Cover All Filipinos
chunk_14_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_14_table_1.csv,3,PhilHealth Identification Number,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",1. DOH Administrative Order 2013-0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001). 2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_14_table_1.csv,4,Alert identifier,Alert identifier as represented by a code.,Captured in PhilHealth Membership Registration and Claims Forms
chunk_14_table_1.csv,5,Type of Allergy/Intolerance,"Risk of harmful or undesirable, physiological response which is unique to an individual and associated with exposure to a substance; Codes for Allergy, Intolerance",DOH Hospital Health Information Management Manual
chunk_14_table_1.csv,6,Category,"Category of allergy (i.e. food, medication, environment, biologic) as represented by a code.",
chunk_14_table_1.csv,7,Category Description,Category description as represented by a code.,
chunk_15_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_15_table_1.csv,3,PhilHealth Identification Number,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",1. DOH Administrative Order 2013- 0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001). 2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_15_table_1.csv,4,Date of Complication,Date the patient experienced complication,DOH Hospital Health Information Management Manual 1
chunk_15_table_1.csv,5,Time of Complication,Time of the patient experienced complication,
chunk_15_table_1.csv,6,Complication,Complication experienced by the patient,
chunk_15_table_1.csv,7,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_15_table_1.csv,8,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_15_table_1.csv,9,Date of Last Update,Date data was last updated,
chunk_15_table_1.csv,10,Time of Last Update,Time data was last updated,
chunk_15_table_1.csv,DIAGNOSIS,,,
chunk_15_table_1.csv,L,Encounter Code,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHealth identification number of the patient, date and time of encounter, as represented by a code.",PhilHealth Circular 2020-0002: Governing Policies of the Konsultasyong Sulit at Tama (PhilHealth Konsulta) Package: Expansion of the Primary Care Benefit to Cover All Filipinos
chunk_15_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_15_table_1.csv,3,PhilHealth Identification Number,A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of,1. DOH Administrative Order 2013-0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001).
chunk_16_table_1.csv,,,"identification, eligibility verification, and utilization recording.",2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_16_table_1.csv,4,Date Diagnosed,The date when the patient was diagnosed,DOH Hospital Health Information Management Manual
chunk_16_table_1.csv,5,Time Diagnosed,Time the patient was diagnosed,
chunk_16_table_1.csv,6,Diagnosis Type,Type of diagnosis as represented by a code.,
chunk_16_table_1.csv,7,Diagnosis Code,Diagnosis as represented by a code.,
chunk_16_table_1.csv,8,Diagnosis Description,Diagnosis description,
chunk_16_table_1.csv,9,Diagnosis Remarks,Diagnosis remarks,
chunk_16_table_1.csv,10,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_16_table_1.csv,11,Time of Initial Transmission,Time data was transmitted to National Ilealth Data Center,
chunk_16_table_1.csv,12,Date of Last Update,Date data was last updated,
chunk_16_table_1.csv,13,Time of Last Update,Time data was last updated,
chunk_16_table_1.csv,MATERNAL CARE,,,
chunk_16_table_1.csv,1,Encounter Code,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHealth identification number of the patient, date and time of encounter, as represented by a code.",PhilHealth Circular 2020-0002: Governing Policies of the Konsultasyong Sulit at Tama (PhilHealth Konsulta) Package: Expansion of the Primary Care Benefit to Cover All Filipinos
chunk_16_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_16_table_1.csv,3,PhilHealth Identification Number,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",1. DOH Administrative Order 2013-0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001). 2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_16_table_1.csv,4,Date of Prenatal Checkup,The date of the patient's prenatal checkup,DOH Hospital Health Information Management Manual
chunk_16_table_1.csv,5,Time of Prenatal Checkup,The time of the patient's prenatal checkup,
chunk_16_table_1.csv,6,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_17_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_17_table_1.csv,3,PhilHealth Identification Number,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",1. DOH Administrative Order 2013- 0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001). 2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_17_table_1.csv,4,Vaccine Type,Type of Anti Rabies Vaccine / Rabies Immunoglobulin administered as represented by a code.,DOH AO 2018-0013: Revised Guidelines on the Management of Rabies Exposures
chunk_17_table_1.csv,5,Others Description,"If others, specify",
chunk_17_table_1.csv,6,Date Given,Date the vaccine was given,
chunk_17_table_1.csv,7,Time Given,Time the vaccine was given,
chunk_17_table_1.csv,8,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_17_table_1.csv,9,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_17_table_1.csv,10,Date of Last Update,Date data was last updated,
chunk_17_table_1.csv,11,Time of Last Update,Time data was last updated,
chunk_17_table_1.csv,ESSENTIAL NEWBORN CARE,,,
chunk_17_table_1.csv,1,Encounter Code,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHealth identification number of the patient, date and time of encounter, as represented by a code.",PhilHealth Circular 2020-0002: Governing Policies of the Konsultasyong Sulit at Tama (PhilHealth Konsulta) Package: Expansion of the Primary Care Benefit to Cover All Filipinos
chunk_17_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_17_table_1.csv,3,PhilHealth Identification Number,A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance,1. DOH Administrative Order 2013-0025: National Implementation of Health Data Standards for eHealth Standardization and
chunk_18_table_1.csv,5,Time Given,Time administered the immunization,"1. RA10152: Mandatory Basic Immunization Services for Infants and Children 2. DOH AO No. 2011-0010: Implementing Procedures and Guidelines in Reporting Field Health Services Data to The DOH Central Office."""
chunk_18_table_1.csv,6,Immunization,Immunization Code: BCG / OPV1 / OPV2 / OPV3/ DPT 1 / DPT 2 / DPT 3 /Measles / Hepatitis B1 / Hepatitis B2 / Hepatitis B2 / Hepatitis A / Varicella - Chicken Pox / Others,
chunk_18_table_1.csv,7,Immunization Others,"Other immunization, specify",
chunk_18_table_1.csv,8,Immunization Remarks,Immunization Remarks,
chunk_18_table_1.csv,9,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_18_table_1.csv,10,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_18_table_1.csv,11,Date of Last Update,Date data was last updated,
chunk_18_table_1.csv,12,Time of Last Update,Time data was last updated,
chunk_18_table_1.csv,MENSTRUAL HISTORY,,,
chunk_18_table_1.csv,1,Encounter Code,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHealth identification number of the patient, date and time of encounter, as represented by a code.",PhilHealth Circular 2020-0002: Governing Policies of the Konsultasyong Sulit at Tama (PhilHealth Konsulta) Package: Expansion of the Primary Care Benefit to Cover All Filipinos
chunk_18_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_18_table_1.csv,3,PhilHealth Identification Number,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",1. DOH Administrative Order 2013-0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001). 2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_18_table_1.csv,4,Age of First Menstruation (Menarche),Age of first menstruation (Menarche),1. DOH Hospital Health Information Management Manual 2. IRR of RA 10354: Responsible Parenthood
chunk_18_table_1.csv,5,Date of Last Menstrual Period,Date of last menstrual period,
chunk_19_table_1.csv,,,"identification, eligibility verification, and utilization recording.",
chunk_19_table_1.csv,4,Number of Pregnancy to Date-Gravity Chief,Number of Pregnancy to Date -Gravity Chief,
chunk_19_table_1.csv,5,Number of Delivery to Date -Parity,Number of Delivery to Date -Parity,
chunk_19_table_1.csv,6,OB/GYN History ( --- ),OB/GYN History ( --- ),
chunk_19_table_1.csv,7,Type of Delivery,"""N"" - Normal (NSD), ""C"" - Operative (CSD), ""B"" - Both Normal & Operative (NSD & CSD), ""X"" - Not applicable",
chunk_19_table_1.csv,8,Number of Full Term Pregnancy,Number of pregnancies that reached full term,
chunk_19_table_1.csv,9,Number of Premature births,Number of premature births,
chunk_19_table_1.csv,10,Number of Abortion,Number of abortions,
chunk_19_table_1.csv,11,Number of Living Children,Number of living children,
chunk_19_table_1.csv,12,If Pregnancy - Induced Hypertension (Pre - Eclampsia),"Yes, No/None",
chunk_19_table_1.csv,13,If with access to Family Planning Counselling,"Yes, No/None",
chunk_19_table_1.csv,14,If Pregnancy History Applicable,Yes/No,
chunk_19_table_1.csv,15,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_19_table_1.csv,16,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_19_table_1.csv,17,Date of Last Update,Date data was last updated,
chunk_19_table_1.csv,18,Time of Last Update,Time data was last updated,
chunk_1_table_1.csv,DATA ELEMENT,,DEFINITION,SOURCE OF DEFINITION
chunk_1_table_1.csv,MASTER PERSON DATA,,,
chunk_1_table_1.csv,1,PhilHealth Identification Number (Member or Dependent) 1,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",1. DOH Administrative Order 2013-0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001). 2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_1_table_1.csv,2,PhilSys Number,"A randomly generated, unique, and permanent identification number that will be assigned to every citizen or resident alien upon birth or registration by the PSA.",Republic Act 11055: Philippine Identification System Act
chunk_1_table_1.csv,3,Taxpayer Identification Number,"A nine-digit number assigned by the Bureau of Internal Revenue (plus a three-digit branch code, if applicable) to any person, whether natural or juridical, required under the authority of the Internal Revenue Code to make, render or file a return, statement or other documents for his proper identification for tax purposes",Section 236 (i) of the Tax Code.
chunk_1_table_1.csv,4,Passport Number,"A unique identification code issued by the Philippine government to its citizens and requesting other governments to allow its citizens to pass safely and freely, and in case of need to give him/her all lawful aid and protection.",Republic Act 8239: Philippine Passport Act of 1996.
chunk_1_table_1.csv,5,Person with Disability (PWD) Identification Number,A unique identification code issued to any bonafide person with permanent disability.,NCDA Administrative Order No. 001 Series of 2008: Guidelines on the Issuance of
chunk_20_table_1.csv,1,Encounter Code,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHealth identification number of the patient, date and time of encounter, as represented by a code.",
chunk_20_table_1.csv,2,Health Facility Code (for the requesting facility),DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR). Facility that requests the diagnostic test.,
chunk_20_table_1.csv,3,PhilHealth Identification Number,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",
chunk_20_table_1.csv,4,Type of Laboratory,Type of laboratory test as represented by a code.,
chunk_20_table_1.csv,5,Type of Specimen,Type of specimen that will be transported for testing,
chunk_20_table_1.csv,6,Specimen collection date,Date the specimen was collected,
chunk_20_table_1.csv,7,Specimen received date,Date the specimen was received by the testing facility,
chunk_20_table_1.csv,8,Results received date,Date the results was received,
chunk_20_table_1.csv,9,Test Result,Test result of the diagnostic test requested,
chunk_20_table_1.csv,10,Specimen Reference #,The laboratory reference # of the specimen,
chunk_20_table_1.csv,11,Result Reference #,The result reference #,
chunk_20_table_1.csv,12,Virus Isolation Result,Virus isolation result,
chunk_20_table_1.csv,13,PCR Result,Polymeraise Chain Reaction Result,
chunk_20_table_1.csv,14,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_21_table_1.csv,,,"registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",
chunk_21_table_1.csv,4,Specimen Reference #,Laboratory Reference # of the specimen,
chunk_21_table_1.csv,5,Result Reference #,Test result reference #,
chunk_21_table_1.csv,6,Date of Result,Date the result was released,
chunk_21_table_1.csv,7,Time of Result,Time the result was released,
chunk_21_table_1.csv,8,Value for Hematocrit,Value for Hematocrit,
chunk_21_table_1.csv,9,Value for Hemoglobin in g/dL,Value for Hemoglobin in g/dL,
chunk_21_table_1.csv,10,Value for Hemoglobin in mmol/L,Value for Hemoglobin in mmol/L,
chunk_21_table_1.csv,11,Value for MHC in pg/cell,Value for MHC in pg/cell,
chunk_21_table_1.csv,12,Value for MHC in fmol/cell,Value for MHC in fmol/cell,
chunk_21_table_1.csv,13,Value for MCHC in fmol/cell,Value for MCHC in fmol/cell,
chunk_21_table_1.csv,14,Value for MCHC in mmol/Hb/L,Value for MCHC in mmol/Hb/L,
chunk_21_table_1.csv,15,Value for MCV in um^3,Value for MCV in um^3,
chunk_21_table_1.csv,16,Value for MCV In fL,Value for MCV In fL,
chunk_21_table_1.csv,17,Value for WBC in X 1000 cells/mm^3uL,Value for WBC in X 1000 cells/mm^3uL,
chunk_21_table_1.csv,18,Value for WBC in X 10^9 cells/L,Value for WBC in X 10^9 cells/L,
chunk_21_table_1.csv,19,Percentage Value of Myelocyte in Leukocyte Differential,Percentage value of Myelocyte in Leukocyte Differential,
chunk_21_table_1.csv,20,Percentage Value of Neutrophil Bands in Leukocyte Differential,Percentage value of Neutrophil Bands in Leukocyte Differential,
chunk_21_table_1.csv,21,Percentage Value of Neutrophil Segmenters in Leukocyte Differential,Percentage value of Neutrophil Segmenters in Leukocyte differential,
chunk_21_table_1.csv,22,Percentage Value of Lymphocytes in Leukocyte Differential,Percentage value of Lymphocytes in Leukocyte differential,
chunk_21_table_1.csv,23,Percentage Value of Monocytes in Leukocyte Differential,Percentage Value of Monocytes in Leukocyte differential,
chunk_21_table_1.csv,24,Percentage Value of Eosinophils in Leukocyte Differential,Percentage value of Eosinophils in Leukocyte differential,
chunk_21_table_1.csv,25,Percentage Value of Basophils in Leukocyte Differential,Percentage value of Basophils in Leukocyte differential,
chunk_22_table_1.csv,10,Value for RBC (/hpf),Value for RBC (/hpf),
chunk_22_table_1.csv,11,Value for WBC(/hpf),Value for WBC(/hpf),
chunk_22_table_1.csv,12,Value for RBC (=/-),Value for RBC (=/-),
chunk_22_table_1.csv,13,Value for Parasite (=/-),Value for Parasite (=/-),
chunk_22_table_1.csv,14,Presence of Blood in Stool,Presence of Blood in Stool,
chunk_22_table_1.csv,15,Value for Occult Blood,Value for Occult Blood,
chunk_22_table_1.csv,16,Value for PUS Cells,Value for PUS Cells,
chunk_22_table_1.csv,17,Date the Record was Added,Date the Record was Added,
chunk_22_table_1.csv,18,Status of Laboratory/Imaging Results,Status of Laboratory/Imaging Results,
chunk_22_table_1.csv,19,Diagnostic Lab Fee,Diagnostic Lab Fee,
chunk_22_table_1.csv,20,Date of Initial Transmission,Date data was transmitted to National Health Data Center,
chunk_22_table_1.csv,21,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_22_table_1.csv,22,Date of Last Update,Date data was last updated,
chunk_22_table_1.csv,23,Time of Last Update,Time data was last updated,
chunk_23_table_1.csv,5,Result Reference #,Test result reference #,1. DOH AO 2012-0021: National Health Laboratory Network 2. DOH HFDB Manual of Standards on Quality Management System in the Clinical Laboratory
chunk_23_table_1.csv,6,Date of Result,Date the result was released,
chunk_23_table_1.csv,7,Time of Result,Time the result was released,
chunk_23_table_1.csv,8,Value for Glucose in md/DI,Value for Glucose in md/Dl,
chunk_23_table_1.csv,9,Value for Glucose in mmol/L,Value for Glucose in mmol/L,
chunk_23_table_1.csv,10,Date the Record was Added,Date the record was added,
chunk_23_table_1.csv,11,Status of Laboratory/ Imaging Results,Status of Laboratory/Imaging Results,
chunk_23_table_1.csv,12,Diagnostic Lab Fee,Diagnostic Lab Fee,DOH AO 2008-0002 Posting of Schedule of Fees for Laboratory and Other
chunk_23_table_1.csv,13,Date of Initial Transmission,Date data was transmitted to National Health Data Center,1. DOH AO 2012-0021: National Health Laboratory Network 2. DOH HFDB Manual of Standards on Quality Management System in the Clinical Laboratory
chunk_23_table_1.csv,14,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_23_table_1.csv,15,Date of Last Update,Date data was last updated,
chunk_23_table_1.csv,16,Time of Last Update,Time data was last updated,
chunk_23_table_1.csv,LABORATORY: URINALYSIS RESULTS,,,
chunk_23_table_1.csv,1,Encounter Code,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHIcalth identification number of the patient, date and time of encounter, as represented by a code.",PhilITealth Circular 2020-0002: Governing Policies of the Konsultasyong Sulit at Tama (PhilHealth Konsulta) Package: Expansion of the Primary Care Benefit to Cover All Filipinos
chunk_23_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_23_table_1.csv,3,PhilHealth Identification Number,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",1. DOH Administrative Order 2013-0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001). 2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_23_table_1.csv,4,Specimen Reference #,Laboratory Reference # of the specimen,1. DOH AO 2012-0021: National Health Laboratory Network
chunk_23_table_1.csv,5,Result Reference #,Test result reference #,
chunk_24_table_1.csv,33,Diagnostic Lab Fee,Diagnostic laboratory fees,DOH AO 2008-0002 Posting of Schedule of Fees for Laboratory and Other Health Facilities
chunk_24_table_1.csv,34,Date of Initial Transmission,Date data was transmitted to National Health Data Center,1. DOH AO 2012-0021: National Health Laboratory Network 2. DOH HFDB Manual of Standards on Quality Management System in the Clinical Laboratory
chunk_24_table_1.csv,35,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_24_table_1.csv,36,Date of Last Update,Date data was last updated,
chunk_24_table_1.csv,37,Time of Last Update,Time data was last updated,
chunk_24_table_1.csv,LABORATORY: FECAL OCCULT BLOOD,,,
chunk_24_table_1.csv,1,Encounter Code,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHealth identification number of the patient, date and time of encounter, as represented by a code.",PhilHealth Circular 2020-0002: Governing Policies of the Konsultasyong Sulit at Tama (PhilHealth Konsulta) Package: Expansion of the Primary Care Benefit to Cover All Filipinos
chunk_24_table_1.csv,2,Health Facility Code,DOH-issued unique health facility code as generated from the National Health Facility Registry (NHFR).,DOH AO 2020- 2019-0060: Guidelines on the Implementation of the National Health Facility Registry
chunk_24_table_1.csv,3,PhilHealth Identification Number,"A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",1. DOH Administrative Order 2013-0025: National Implementation of Health Data Standards for eHealth Standardization and Interoperability (eHSI Release 001). 2. Captured in PhilHealth Membership Registration and Claims Forms.
chunk_24_table_1.csv,4,Specimen Reference #,Laboratory Reference # of the specimen,1. DOH AO 2012-0021: National Health Laboratory Network 2. DOH HFDB Manual of Standards on Quality Management System in the Clinical Laboratory
chunk_24_table_1.csv,5,Result Reference #,Test result reference #,
chunk_24_table_1.csv,6,Date of Result,Date the result was released,
chunk_24_table_1.csv,7,Time of Result,Time the result was released,
chunk_24_table_1.csv,8,Findings/ Result in FOBT,Findings/ Result of Fecal Occult Blood Test,
chunk_24_table_1.csv,9,Date the Record was Added,Date the record was added,
chunk_24_table_1.csv,10,Status of Laboratory/Imaging Results,Status of laboratory/imaging results,
chunk_25_table_1.csv,10,Total Value of Cholesterol (mg/dL),Total Value of Cholesterol (mg/dL),
chunk_25_table_1.csv,11,Total Value of Cholesterol (mg/dL),Total Value of Cholesterol (mg/dL),
chunk_25_table_1.csv,12,Total Value of Triglycerides (mg/dL),Total Value of Triglycerides (mg/dL),
chunk_25_table_1.csv,13,Status of Laboratory/ Imaging Result,Status of laboratory/imaging results,
chunk_25_table_1.csv,14,Diagnostic Lab Fee,Diagnostic Lab Fee,DOH AO 2008-0002 Posting of Schedule of Fees for Laboratory and Other Health Facilities
chunk_25_table_1.csv,15,Date of Initial Transmission,Date data was transmitted to National Health Data Center,1. DOH AO 2012-0021: National Health Laboratory Network 2. DOH HFDB Manual of Standards on Quality Management System in the Clinical Laboratory
chunk_25_table_1.csv,16,Time of Initial Transmission,Time data was transmitted to National Health Data Center,
chunk_25_table_1.csv,17,Date of Last Update,Date data was last updated,
chunk_25_table_1.csv,18,Time of Last Update,Time data was last updated,
chunk_25_table_1.csv,LABORATORY: ORAL CLUCOSE TOLERANCE TEST (OGTT),,,
